V1	I1	V2	I2	V3	I3
8.60000E-01	5.36620E-05	1.01108E+00	2.50000E-05	0.00000E+00	-7.75020E-05
8.80000E-01	6.11660E-05	1.03020E+00	2.50000E-05	0.00000E+00	-8.56820E-05
9.00000E-01	6.82260E-05	1.04748E+00	2.50000E-05	0.00000E+00	-9.25440E-05
9.20000E-01	7.61360E-05	1.06592E+00	2.50000E-05	0.00000E+00	-1.01598E-04
9.40000E-01	8.49640E-05	1.08496E+00	2.50000E-05	0.00000E+00	-1.09176E-04
9.60000E-01	9.29000E-05	1.10152E+00	2.50000E-05	0.00000E+00	-1.18280E-04
9.80000E-01	1.03096E-04	1.11652E+00	2.50000E-05	0.00000E+00	-1.26720E-04
1.00000E+00	1.11776E-04	1.13656E+00	2.50000E-05	0.00000E+00	-1.37780E-04
1.02000E+00	1.23100E-04	1.15392E+00	2.50000E-05	0.00000E+00	-1.48740E-04
1.04000E+00	1.31860E-04	1.17108E+00	2.50000E-05	0.00000E+00	-1.57840E-04
1.06000E+00	1.42020E-04	1.18776E+00	2.50000E-05	0.00000E+00	-1.66180E-04
1.08000E+00	1.51760E-04	1.19840E+00	2.50000E-05	0.00000E+00	-1.75880E-04
1.10000E+00	1.62380E-04	1.21860E+00	2.50000E-05	0.00000E+00	-1.86620E-04
1.12000E+00	1.74100E-04	1.23132E+00	2.50000E-05	0.00000E+00	-1.97720E-04
1.14000E+00	1.84180E-04	1.24900E+00	2.50000E-05	0.00000E+00	-2.09480E-04
1.16000E+00	1.92920E-04	1.26116E+00	2.50000E-05	0.00000E+00	-2.17960E-04
1.18000E+00	2.05460E-04	1.27740E+00	2.50000E-05	0.00000E+00	-2.32240E-04
1.20000E+00	2.15960E-04	1.29008E+00	2.50000E-05	0.00000E+00	-2.39200E-04
1.22000E+00	2.23620E-04	1.30144E+00	2.50000E-05	0.00000E+00	-2.48580E-04
1.24000E+00	2.28980E-04	1.30752E+00	2.50000E-05	0.00000E+00	-2.53820E-04
1.26000E+00	2.34780E-04	1.31472E+00	2.50000E-05	0.00000E+00	-2.59420E-04
1.28000E+00	2.38840E-04	1.32020E+00	2.50000E-05	0.00000E+00	-2.64160E-04
1.30000E+00	2.42120E-04	1.32352E+00	2.50000E-05	0.00000E+00	-2.67280E-04
1.32000E+00	2.44880E-04	1.32768E+00	2.50000E-05	0.00000E+00	-2.69520E-04
1.34000E+00	2.45780E-04	1.32892E+00	2.50000E-05	0.00000E+00	-2.70900E-04
1.36000E+00	2.46840E-04	1.33048E+00	2.50000E-05	0.00000E+00	-2.71240E-04
1.38000E+00	2.47680E-04	1.33100E+00	2.50000E-05	0.00000E+00	-2.71780E-04
1.40000E+00	2.46700E-04	1.33260E+00	2.50000E-05	0.00000E+00	-2.72040E-04
1.42000E+00	2.47740E-04	1.33336E+00	2.50000E-05	0.00000E+00	-2.72320E-04
1.44000E+00	2.47760E-04	1.33436E+00	2.50000E-05	0.00000E+00	-2.72680E-04
1.46000E+00	2.47720E-04	1.33432E+00	2.50000E-05	0.00000E+00	-2.72000E-04
1.48000E+00	2.47780E-04	1.33592E+00	2.50000E-05	0.00000E+00	-2.72980E-04
1.50000E+00	2.47780E-04	1.33696E+00	2.50000E-05	0.00000E+00	-2.73100E-04
1.52000E+00	2.47840E-04	1.33776E+00	2.50000E-05	0.00000E+00	-2.72680E-04
1.54000E+00	2.48260E-04	1.33916E+00	2.50000E-05	0.00000E+00	-2.73020E-04
1.56000E+00	2.48280E-04	1.33940E+00	2.50000E-05	0.00000E+00	-2.73000E-04
1.58000E+00	2.47740E-04	1.34016E+00	2.50000E-05	0.00000E+00	-2.73120E-04
1.60000E+00	2.47940E-04	1.34124E+00	2.50000E-05	0.00000E+00	-2.72860E-04
1.62000E+00	2.47880E-04	1.34240E+00	2.50000E-05	0.00000E+00	-2.73440E-04
