V1	I1	V2	I2	V3	I3
9.00000E-01	1.15440E-03	9.00000E-01	5.36620E-03	0.00000E+00	-6.49960E-03
9.10000E-01	1.19620E-03	9.10000E-01	5.56320E-03	0.00000E+00	-6.74980E-03
9.20000E-01	1.24860E-03	9.20000E-01	5.74580E-03	0.00000E+00	-6.98840E-03
9.30000E-01	1.30400E-03	9.30000E-01	5.91620E-03	0.00000E+00	-7.22480E-03
9.40000E-01	1.36380E-03	9.40000E-01	6.09220E-03	0.00000E+00	-7.46160E-03
9.50000E-01	1.42700E-03	9.50000E-01	6.25740E-03	0.00000E+00	-7.69620E-03
9.60000E-01	1.48240E-03	9.60000E-01	6.47980E-03	0.00000E+00	-7.93320E-03
9.70000E-01	1.54440E-03	9.70000E-01	6.64160E-03	0.00000E+00	-8.17580E-03
9.80000E-01	1.59300E-03	9.80000E-01	6.83440E-03	0.00000E+00	-8.43300E-03
9.90000E-01	1.66000E-03	9.90000E-01	7.01440E-03	0.00000E+00	-8.66740E-03
1.00000E+00	1.72440E-03	1.00000E+00	7.19180E-03	0.00000E+00	-8.90820E-03
